GENE,REFSEQ_ID,UNIPROT_ID,AVE_SC,NUM_EXPT,CC405,CC406,CC410
A2ML1,NP_001269353;NP_653271,A2ML1_HUMAN,1,1,0,1,0
AATF,NP_036270,AATF_HUMAN,1,1,0,1,0
ABCD3,NP_001116146;NP_002849,ABCD3_HUMAN,1,1,1,0,0
ABCE1,NP_001035809;NP_002931,ABCE1_HUMAN,1,1,0,1,0
ABCF1,NP_001020262;NP_001081,ABCF1_HUMAN,1,1,1,0,0
ABCF3,NP_060828;XP_005247637,ABCF3_HUMAN,1,1,0,1,0
ACACA,NP_942131;NP_942133,ACACA_HUMAN,398.67,3,161,567,468
ACACB,NP_001084;XP_005253933,ACACB_HUMAN,59.67,3,23,99,57
ACIN1,NP_001158286;NP_001158287,ACINU_HUMAN,2,1,2,0,0
ACP1,NP_001035739;NP_004291,PPAC_HUMAN,2,1,0,2,0
ACP2,NP_001124536;NP_001601,PPAL_HUMAN,1,1,0,1,0
ACTA1,NP_001091,ACTS_HUMAN,21.33,3,33,17,14
ACTA2,NP_001135417;NP_001604,ACTA_HUMAN,21,3,32,17,14
ACTB,NP_001092;XP_005249875,ACTB_HUMAN,31.33,3,51,24,19
ACTBL2,NP_001017992,ACTBL_HUMAN,9.67,3,19,8,2
ACTC1,NP_005150,ACTC_HUMAN,21.33,3,33,17,14
ACTG1,NP_001186883;NP_001605,ACTG_HUMAN,31.33,3,51,24,19
ACTG2,NP_001186822;NP_001606,ACTH_HUMAN,21,3,32,17,14
ACTN1,NP_001093;NP_001123476,ACTN1_HUMAN,7.5,2,14,1,0
ACTN2,NP_001094;NP_001265272,ACTN2_HUMAN,3,2,5,1,0
ACTN3,NP_001095;NP_001245300,--,1,1,1,0,0
ACTN4,NP_004915;XP_005259338,ACTN4_HUMAN,4,2,7,1,0
ADARB2,NP_061172,RED2_HUMAN,1,1,1,0,0
AFG3L2,NP_006787,AFG32_HUMAN,1,1,0,0,1
AHCY,NP_000678;NP_001155238,SAHH_HUMAN,1,1,1,0,0
AIFM1,NP_001124318;NP_001124319,AIFM1_HUMAN,5.67,3,3,6,8
AKR1A1,NP_001189342;NP_001189343,AK1A1_HUMAN,1,1,1,0,0
ALB,NP_000468;XP_005265711,ALBU_HUMAN,24,3,49,16,7
ALDOA,NP_000025;NP_001121089,ALDOA_HUMAN,3,1,3,0,0
ANXA1,NP_000691;XP_005252007,ANXA1_HUMAN,8,1,8,0,0
ANXA2,NP_001002857;NP_001002858,ANXA2_HUMAN,10.33,3,19,10,2
ANXA5,NP_001145,ANXA5_HUMAN,2,2,3,1,0
AP3B1,NP_001258698;NP_003655,AP3B1_HUMAN,1,1,1,0,0
APOA1,NP_000030;XP_005271596,APOA1_HUMAN,1,1,1,0,0
APOBEC3A,NP_001180218;NP_001257335,ABC3A_HUMAN,2,3,1,4,1
APOBEC3B,NP_001257340;NP_004891,ABC3B_HUMAN,3.33,3,1,7,2
APOBEC3C,NP_055323,ABC3C_HUMAN,1,1,0,1,0
APOBEC3D,NP_689639;XP_005261393,ABC3D_HUMAN,1.5,2,0,2,1
APOBEC3F,NP_001006667;NP_660341,ABC3F_HUMAN,2,2,0,3,1
AQR,NP_055506,AQR_HUMAN,1,1,1,0,0
ARAF,NP_001243125;NP_001243126,ARAF_HUMAN,1,1,0,0,1
