Accession	Name	Description	source	Filtered Spectra	Distinct Peptides	Coverage
Q2M2I8	AAK1	AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3	clasp_minus_rep1	5	5	31.7377731529657
Q2M2I8	AAK1	AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3	clasp_minus_rep2	6	6	31.7377731529657
Q2M2I8	AAK1	AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3	clasp_plus_rep1	5	5	31.7377731529657
Q2M2I8	AAK1	AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3	clasp_plus_rep2	6	6	31.7377731529657
P49588	AARS	Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2	clasp_minus_rep1	10	10	44.6280991735537
P49588	AARS	Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2	clasp_minus_rep2	11	11	44.6280991735537
P49588	AARS	Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2	clasp_plus_rep1	12	12	44.6280991735537
P49588	AARS	Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2	clasp_plus_rep2	15	15	44.6280991735537
O75027	ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens GN=ABCB7 PE=1 SV=2	clasp_minus_rep1	4	4	34.4414893617021
O75027	ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens GN=ABCB7 PE=1 SV=2	clasp_minus_rep2	2	2	34.4414893617021
O75027	ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens GN=ABCB7 PE=1 SV=2	clasp_plus_rep1	5	5	34.4414893617021
O75027	ABCB7	ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens GN=ABCB7 PE=1 SV=2	clasp_plus_rep2	8	8	34.4414893617021
P28288	ABCD3	ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1	clasp_minus_rep1	6	6	30.1972685887709
P28288	ABCD3	ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1	clasp_minus_rep2	7	7	30.1972685887709
P28288	ABCD3	ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1	clasp_plus_rep1	11	9	30.1972685887709
P28288	ABCD3	ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1	clasp_plus_rep2	9	9	30.1972685887709
P61221	ABCE1	ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=1 SV=1	clasp_minus_rep1	2	2	22.0367278797997
P61221	ABCE1	ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=1 SV=1	clasp_minus_rep2	2	2	22.0367278797997
P61221	ABCE1	ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=1 SV=1	clasp_plus_rep1	2	2	22.0367278797997
P61221	ABCE1	ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=1 SV=1	clasp_plus_rep2	4	3	22.0367278797997
Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	clasp_minus_rep1	37	28	61.7751479289941
Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	clasp_minus_rep2	38	31	61.7751479289941
Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	clasp_plus_rep1	50	34	61.7751479289941
Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	clasp_plus_rep2	53	36	61.7751479289941
Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	no4SU_minus_rep2	19	16	59.2899408284024
Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	no4SU_plus_rep2	10	8	59.2899408284024
O14639	ABLIM1	Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 PE=1 SV=3	clasp_minus_rep1	11	9	41.0025706940874
O14639	ABLIM1	Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 PE=1 SV=3	clasp_minus_rep2	11	9	41.0025706940874
O14639	ABLIM1	Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 PE=1 SV=3	clasp_plus_rep1	16	15	41.0025706940874
O14639	ABLIM1	Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 PE=1 SV=3	clasp_plus_rep2	23	19	41.0025706940874
P49748	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1	clasp_minus_rep1	10	9	29.618320610687
P49748	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1	clasp_minus_rep2	10	9	29.618320610687
P49748	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1	clasp_plus_rep1	7	7	29.618320610687
P49748	ACADVL	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1	clasp_plus_rep2	8	8	29.618320610687
Q9UKV3	ACIN1	Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2	clasp_minus_rep1	17	16	39.44817300522
Q9UKV3	ACIN1	Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2	clasp_minus_rep2	18	18	39.44817300522
Q9UKV3	ACIN1	Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2	clasp_plus_rep1	31	27	39.44817300522
Q9UKV3	ACIN1	Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2	clasp_plus_rep2	31	26	39.44817300522
P53396	ACLY	ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	clasp_minus_rep1	47	36	60.0363306085378
P53396	ACLY	ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	clasp_minus_rep2	48	34	60.0363306085378
P53396	ACLY	ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	clasp_plus_rep1	66	43	60.0363306085378
P53396	ACLY	ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	clasp_plus_rep2	65	46	60.0363306085378
P53396	ACLY	ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	no4SU_minus_rep2	20	17	50.408719346049
P53396	ACLY	ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	no4SU_plus_rep2	14	12	50.408719346049
P21399	ACO1	Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3	clasp_minus_rep1	17	13	48.0314960629921
P21399	ACO1	Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3	clasp_minus_rep2	15	13	48.0314960629921
P21399	ACO1	Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3	clasp_plus_rep1	33	24	48.0314960629921
